FoodID,Food Item,Edible part,Ref,Water,Ref,Kilojoules,Ref,Kilocalories,Ref,Fat,Ref,SatFa,Ref,TransFa,Ref,MuFa,Ref,PuFa,Ref,Cholesterol,Ref,Carbo,Ref,Starch,Ref,Mono+Di,Ref,Sugar,Ref,Dietary fibre,Ref,Protein,Ref,Salt,Ref,Alcohol,Ref,Retinol,Ref,Beta-carotene,Ref,Vitamin A,Ref,Vitamin D,Ref,Vitamin E,Ref,Thiamin,Ref,Riboflavin,Ref,Niacin,Ref,Vitamin B6,Ref,Folate,Ref,Vitamin B12,Ref,Vitamin C,Ref,Calcium,Ref,Iron,Ref,Sodium,Ref,Potassium,Ref,Magnesium,Ref,Zinc,Ref,Selenium,Ref,Copper,Ref,Phosphorus,Ref,Iodine,Ref
,Abbreviations: M = Missing value. Ref = Reference,%,,g,,kJ,,kcal,,g,,g,,g,,g,,g,,mg,,g,,g,,g,,g,,g,,g,,g,,g,,µg,,µg,,RAE,,µg,,alfa-TE,,mg,,mg,,mg,,mg,,µg,,µg,,mg,,mg,,mg,,mg,,mg,,mg,,mg,,µg,,mg,,mg,,µg,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Milk and milk products,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.1,Milk and milk based beverages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01.170,"Milk, low fat cultured, Biola",100,0,90,117,190,60a,45,60b,1.5,73b,1,73h,0,73h,0.3,73h,0,73h,4,66a,4.5,63,0,10,4.5,73b,0,73e,0,73e,3.4,73b,0.1,69,0,10,15,117,11,117,16,61,0,73g,0,117,0.04,117,0.15,73b,0.1,73b,0.04,117,7,117,0.2,117,0,117,116,73b,0,73b,35,73b,149,117,11,117,0.3,117,1,117,0,117,90,73b,19,76
01.171,"Milk, skimmed cultured, blueberry, Biola",100,0,85,117,235,60a,55,60b,0.2,73b,0.1,73h,0,73h,0,73h,0,73h,0,66a,10.4,63,0,10,10.4,73b,5.6,73c,0,10,3,73b,0.1,69,0,10,2,117,17,117,3,61,0,73g,0,51,0.06,117,0.13,73b,0.1,117,0.04,51,7,51,0.2,73b,1,117,100,73b,0,30,36,117,154,117,11,117,0.3,117,1,51,0,51,80,73b,16,76
01.192,"Milk, semi-skimmed, 0,7 % fat, vitamin D-enriched",100,0,91,117,162,60a,38,60b,0.7,73b,0.4,73h,0,73h,0.2,73h,0,73h,2,66a,4.7,63,0,10,4.7,73b,0,117,0,10,3.3,73b,0.1,69,0,10,6,117,6,117,6,61,0.4,73c,0,117,0.05,73b,0.15,73b,0.1,73b,0.04,117,5,117,0.5,73b,0,117,116,73b,0,73b,40,73b,161,117,13,117,0.4,117,1,117,0.01,117,90,73b,19,76
01.196,"Cocoa, prepared with low fat milk",100,0,80,87,351,60a,83,60b,2,87,1.3,87,0,87,0.6,87,0,87,3,87,11.8,63,0.4,87,11.4,87,7,87,1,87,4,87,0.1,69,0,10,10,87,11,87,11,61,0,87,0,87,0.04,66c,0.15,87,0.2,87,0.03,66c,5,66c,0.4,87,0,87,114,87,0.4,87,39,87,288,87,33,87,0.8,87,1,87,0.15,87,110,87,M,20
01.197,"Cocoa, prepared from instant powder and low fat milk",100,0,84,87,283,60a,67,60b,1.3,87,0.8,87,0,87,0.3,87,0,87,3,87,10.2,63,0.2,87,10,87,5.6,87,0.5,87,3.4,87,0.1,69,0,10,10,87,9,87,11,61,0,87,0,87,0.05,87,0.15,87,0.1,87,0.04,87,6,87,0.4,87,0,87,110,87,0.1,87,53,87,192,87,20,87,0.5,87,1,87,0.07,87,93,87,M,20
01.213,"Milk, semi-skimmed, with flavour, cultured, 0,2 % fat, Biola",100,0,85,51,255,60a,60,60b,0.1,73d,0.1,73h,0,73h,0,73h,0,73h,0,66a,11.8,63,0,10,11.8,73d,7.2,73d,0,10,3,83,0.1,69,0,10,2,51,17,51,3,61,0,73g,0,51,0.06,51,0.13,73d,0.1,51,0.04,51,7,51,0.2,73d,1,51,100,73d,0,51,36,51,154,51,11,51,0.3,51,1,51,0,51,79,73d,16,76
01.214,"Milk, semi-skimmed, with raspberries or strawberries, cultured, 0,1 % fat, Biola",100,0,85,51,267,60a,63,60b,0.1,73d,0.1,73h,0,73h,0,73h,0,73h,0,66a,12.5,63,0,10,12.5,73d,8,73d,0,10,3,73d,0.1,69,0,10,2,51,17,51,3,61,0,73g,0,51,0.06,51,0.13,73d,0.1,51,0.04,51,7,51,0.2,73d,1,51,100,73d,0,51,36,51,154,51,11,51,0.3,51,1,51,0,51,78,73d,16,76
01.215,"Milk, semi-skimmed, lactose free, 1,2 % fat",100,0,99,117,157,60a,37,60b,1.2,76,0.7,76,0,50,0.3,50,0,50,4,66a,3.1,63,0,10,3.1,76,0,73c,0,10,3.5,76,0.1,69,0,10,13,117,13,117,14,61,0.4,73c,0,51,0.04,51,0.15,76,0.1,51,0.03,51,5,51,0.5,51,0,117,134,76,0,117,39,51,171,76,8,51,0.4,51,1,51,0.02,51,115,76,19,76
01.216,"Milk beverage, chocolate flavour, low fat, 0-2 g added sugar",100,0,91,51,191,60a,45,60b,0.7,73b,0.4,73h,0,73h,0.2,73h,0,73h,2,66a,6.2,63,0,50,6.2,73d,1,73d,0,50,3.5,73d,0.1,69,0,10,6,51,6,51,6,61,0,73g,0,51,0.05,51,0.15,51,0.1,51,0.04,51,5,51,0.5,73b,0,51,114,73d,0,51,40,51,161,51,13,51,0.4,51,1,51,0.01,51,90,73b,19,76
01.227,"Milk, semi-skimmed, vitamin D-enriched, with chocolate flavour",100,0,91,51,184,60a,43,60b,0.7,73b,0.4,73h,0,73h,0.2,73h,0,73h,3,66a,5.9,63,0,10,5.9,73b,0.9,73a,0,50,3.4,73b,0.1,69,0,10,6,51,6,51,6,61,0.4,73b,0,51,0.05,73a,0.15,73d,0.1,51,0.04,51,5,51,0.5,73b,0,51,110,73b,0,51,40,51,161,51,13,51,0.4,51,1,51,0.01,51,90,73b,19,76
